City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
218,Paranaiba,BR,74.82,scattered clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
223,Luanda,AO,76.93,overcast clouds,-8.8368,13.2343,EPIC SANA Luanda
226,Kieta,PG,84.16,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
230,Sorong,ID,79.48,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
232,Cardoso,BR,74.21,few clouds,-20.0819,-49.9142,EmilioTur Pescaria
233,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
234,Makakilo City,US,82.72,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
235,Saint George,US,84.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
238,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
242,Hervey Bay,AU,74.01,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
243,Tayu,ID,76.01,overcast clouds,-6.5397,111.0518,Toko pakaian bu is Tayu
245,Hong Gai,VN,73.31,overcast clouds,20.956,107.0946,Hạ Long DC Hotel
249,Bombay,IN,85.98,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
251,Portobelo,PA,84.72,few clouds,9.55,-79.65,Scuba Portobelo
253,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
260,Tutoia,BR,78.12,broken clouds,-2.7619,-42.2744,Pousada Guará's
263,Atambua,ID,75.61,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
264,Lazaro Cardenas,MX,83.25,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
268,Coruripe,BR,77.77,scattered clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
270,Chumphon,TH,71.6,broken clouds,10.3333,98.8333,สกาน จ๋า.
274,Mahibadhoo,MV,83.73,broken clouds,3.7833,72.9667,Omadhoo Inn
277,Caravelas,BR,74.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
282,Hazaribag,IN,74.75,clear sky,23.9833,85.35,Capital O 46318 Sri Vinayak Deluxe
283,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
284,Najran,SA,74.05,clear sky,17.4924,44.1277,محمد هادي ال فطيح
285,Pedasi,PA,80.73,scattered clouds,7.5333,-80.0333,Selina Pedasi
286,Namibe,AO,73.53,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
287,San Onofre,CO,75.9,overcast clouds,9.7359,-75.5263,Hotel Sinai
300,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
304,Nuevo Progreso,MX,80.55,light rain,23.1667,-97.95,Balneario Rio el Paraiso
305,Grand Gaube,MU,77.4,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
306,Sabang,ID,81.81,broken clouds,5.8933,95.3214,Hotel Citra
307,Dennery,LC,80.69,few clouds,13.8996,-60.8879,The Fox Grove Inn
312,Faanui,PF,78.46,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
319,Miandrivazo,MG,78.26,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
324,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
326,Aswan,EG,74.5,clear sky,24.0934,32.907,Nuba Nile
328,Kiunga,PG,78.76,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
329,Kamakwie,SL,81.23,broken clouds,9.5,-12.2333,White House Hotel
330,Nazca,PE,71.4,broken clouds,-14.8333,-74.95,Casa Andina Standard Nasca
331,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
332,Villamontes,BO,77.85,overcast clouds,-21.25,-63.5,Hotel Raldes
335,Nhulunbuy,AU,79.41,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
337,Leo,BF,83.12,overcast clouds,11.1,-2.1,Hotel Sissilis
341,Ambon,ID,78.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
344,Dzilam Gonzalez,MX,85.35,few clouds,21.2833,-88.9333,posadas
351,Abidjan,CI,75.16,thunderstorm with light rain,5.3094,-4.0197,ibis Abidjan Plateau
353,Sosua,DO,80.58,overcast clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
354,San Pedro,PH,84.25,scattered clouds,14.35,121.0167,Esquivel's Garden And Resort
357,Anito,PH,80.83,scattered clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
358,Warrensburg,US,75.02,clear sky,38.7628,-93.7361,Comfort Inn Warrensburg Station
362,Corrales,US,85.42,clear sky,35.2378,-106.6067,Quality Inn
364,Bubaque,GW,76.06,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
368,Eyl,SO,80.62,broken clouds,7.9803,49.8164,Amiin Hotel
371,Sola,VU,82.76,light rain,-13.8833,167.55,Leumerus Bungalows
373,New Amsterdam,GY,74.7,light rain,6.25,-57.5167,Little Rock Suites
376,Sur,OM,84.33,clear sky,22.5667,59.5289,Sur Plaza Hotel
381,Adolfo Lopez Mateos,MX,83.93,clear sky,28.4667,-107.3,Hotel Victor Inn
385,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
386,Kapoeta,SS,72.34,light rain,4.7717,33.5903,Eastgate Hotel
391,Gemena,CD,70.9,light rain,3.25,19.7667,Hôtel Goshen
392,Lahad Datu,MY,76.37,broken clouds,5.0268,118.327,The 27th House
395,Upata,VE,75.47,overcast clouds,8.0086,-62.3989,Posada Villa Nela
396,Cap Malheureux,MU,77.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
399,Greeley,US,83.28,haze,40.4233,-104.7091,Fairfield Inn & Suites by Marriott Greeley
400,Marsh Harbour,BS,73.45,broken clouds,26.5412,-77.0636,Abaco Beach Resort
401,Dicabisagan,PH,80.6,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
406,Farafangana,MG,74.08,moderate rain,-22.8167,47.8333,Miarina
408,Bihariganj,IN,78.19,clear sky,25.7333,86.9833,Chandika Sthan Dharmshala
409,Pandan,PH,81.37,few clouds,14.0453,124.1694,Bonifacio Lodge
413,Nizwa,OM,76.55,clear sky,22.9333,57.5333,Orient Apartments
415,Deming,US,87.69,clear sky,32.2687,-107.7586,Best Western Deming Southwest Inn
416,Jalu,LY,70.72,broken clouds,29.0331,21.5482,صاحبة الفخامة
417,Kilindoni,TZ,80.62,overcast clouds,-7.9139,39.6668,Bustani B&B
418,Doha,QA,79.11,clear sky,25.2867,51.5333,Movenpick Hotel Doha
419,Champerico,GT,75.74,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
420,Hambantota,LK,79.27,overcast clouds,6.1241,81.1185,Bungalow 63
426,Ponnani,IN,79.92,scattered clouds,10.767,75.9252,Rouba Residency
431,Lincoln,US,71.91,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
432,Itarema,BR,77.67,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
437,Japaratuba,BR,79.88,few clouds,-10.5933,-36.9403,Pousada Japaratuba
438,Ambulu,ID,75.09,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
444,Narsingi,IN,81.81,overcast clouds,18.0333,78.4333,Sri sai ram hotel
448,Basco,PH,82.06,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
449,Gizo,SB,83.88,overcast clouds,-8.103,156.8419,Imagination Island
453,Ambilobe,MG,71.73,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
458,Itaituba,BR,74.5,heavy intensity rain,-4.2761,-55.9836,Hotel Campos
461,San Patricio,US,85.17,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
468,Puerto Escondido,MX,86.11,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
470,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
476,Pangai,TO,80.71,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
478,Sandakan,MY,76.68,few clouds,5.8402,118.1179,Hotel Sandakan
481,Burla,IN,77.09,few clouds,21.5,83.8667,VSSUT Guest House
482,Topeka,US,73.18,light rain,39.0483,-95.678,Hotel Topeka At City Center
484,The Valley,AI,80.46,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
486,Morant Bay,JM,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
487,Karawang,ID,80.01,overcast clouds,-6.3042,107.3079,SPOT ON 2412 Mandala Residence
488,Maragogi,BR,77.13,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
489,Salgueiro,BR,78.28,scattered clouds,-8.0742,-39.1192,Hotel Requinte
494,Mogadishu,SO,82.0,overcast clouds,2.0371,45.3438,Hotel Juba
495,Kupang,ID,79.36,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
496,Alcantara,BR,82.6,light rain,-2.4089,-44.4147,Pousada da Josefa
498,Bac Lieu,VN,81.72,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
499,Chemin Grenier,MU,76.59,overcast clouds,-20.4872,57.4656,Shanti Maurice Resort & Spa
502,Salalah,OM,77.97,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
507,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
508,Macara,EC,76.28,light rain,-4.3833,-79.95,Hostal Macará
512,Lasem,ID,76.35,overcast clouds,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
515,Jiwani,PK,78.8,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
517,Lethem,GY,77.0,light rain,3.3803,-59.7968,Savannah Inn
518,Puerto Quijarro,BO,82.29,broken clouds,-17.7833,-57.7667,Hotel palance
521,Biu,NG,83.37,few clouds,10.6129,12.1946,Emir's Palace
526,Bangkalan,ID,75.15,overcast clouds,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
529,Canon City,US,79.61,clear sky,38.441,-105.2424,Travel Inn Motel
530,Karratha,AU,79.41,broken clouds,-20.7377,116.8463,ibis Styles Karratha
532,Kunda,IN,85.28,overcast clouds,25.7167,81.5167,Girja Sankar And Arvind gupta
533,Natitingou,BJ,73.81,scattered clouds,10.3042,1.3796,Cotonou
535,Vaitape,PF,78.44,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
536,Channarayapatna,IN,74.48,clear sky,12.9044,76.3917,Ideal bakery
544,Ambovombe,MG,71.91,scattered clouds,-25.1667,46.0833,RELAHARA
