City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
79,Kolpashevo,RU,58.3131,82.9089,23.54,93,100,12.88,light snow
80,Raudeberg,NO,61.9875,5.1352,48.87,84,46,20.62,scattered clouds
81,Stromness,GB,58.965,-3.296,44.56,88,40,1.99,scattered clouds
82,Dzialdowo,PL,53.2396,20.17,44.92,91,95,9.95,overcast clouds
83,Provideniya,RU,64.3833,-173.3,33.37,74,0,15.99,clear sky
84,Chipinge,ZW,-20.1883,32.6236,59.36,99,100,1.36,light rain
85,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,90,100,6.91,overcast clouds
86,Torbay,CA,47.6666,-52.7314,36.75,76,20,11.99,few clouds
87,Atuona,PF,-9.8,-139.0333,79.09,81,12,15.35,light rain
88,Santa Cruz,BO,-17.8,-63.1667,82.45,69,40,12.66,scattered clouds
89,Te Anau,NZ,-45.4167,167.7167,48.06,76,62,1.43,broken clouds
90,Batagay-Alyta,RU,67.8006,130.4114,15.87,90,100,2.71,overcast clouds
91,Husavik,IS,66.0449,-17.3389,44.04,87,4,8.79,clear sky
92,Longyearbyen,SJ,78.2186,15.6401,28.24,93,75,8.05,light snow
93,Nome,US,64.5011,-165.4064,39.27,52,0,12.66,clear sky
94,Ixtlahuacan Del Rio,MX,20.8667,-103.25,92.26,9,0,6.62,clear sky
95,Dikson,RU,73.5069,80.5464,0.75,97,100,12.1,overcast clouds
96,Uporovo,RU,56.3109,66.2693,25.99,65,2,7.85,clear sky
97,Ouesso,CG,1.6136,16.0517,68.07,99,95,1.19,overcast clouds
98,Lata,PT,40.1629,-8.3327,51.93,97,100,5.1,overcast clouds
99,Kavaratti,IN,10.5669,72.642,84.18,74,7,7.2,clear sky
100,Uyuni,BO,-20.4597,-66.825,51.46,19,10,13.47,clear sky
101,Kendari,ID,-3.945,122.4989,77.61,87,45,2.77,scattered clouds
102,Iqaluit,CA,63.7506,-68.5145,11.93,67,40,6.91,scattered clouds
103,Bucerias,MX,20.75,-105.3333,78.78,78,0,12.66,clear sky
104,Anadyr,RU,64.75,177.4833,30.7,86,75,2.24,light shower snow
105,Souillac,MU,-20.5167,57.5167,77.38,88,75,10.36,broken clouds
106,Bethel,US,41.3712,-73.414,54.03,61,100,10.36,overcast clouds
107,Zhuhai,CN,22.2769,113.5678,76.86,94,40,4.61,scattered clouds
108,Shimoda,JP,34.6667,138.95,66.88,87,49,16.87,scattered clouds
109,Itaueira,BR,-7.6033,-43.0256,78.44,61,82,1.68,broken clouds
110,Besancon,FR,47.2488,6.0182,51.13,100,37,5.57,scattered clouds
111,Pontianak,ID,-0.0333,109.3333,75.18,100,75,4.61,broken clouds
112,Avarua,CK,-21.2078,-159.775,78.85,61,75,12.66,broken clouds
113,Krasnoselkup,RU,65.7,82.4667,-8.61,100,78,3.4,broken clouds
114,Bredasdorp,ZA,-34.5322,20.0403,58.5,88,16,4.59,few clouds
115,Margate,GB,51.3813,1.3862,50.7,83,36,7.0,scattered clouds
116,Deputatskiy,RU,69.3,139.9,11.79,90,95,2.73,overcast clouds
117,Hibbing,US,47.4272,-92.9377,40.6,56,100,8.05,overcast clouds
118,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,16.58,light snow
119,Segovia,ES,41.1667,-4.0,44.44,64,85,5.32,overcast clouds
120,Koson,UZ,39.0375,65.585,57.52,53,0,5.77,clear sky
121,Richmond,US,37.5538,-77.4603,71.58,45,75,12.66,broken clouds
122,Richards Bay,ZA,-28.783,32.0377,65.61,85,50,9.08,scattered clouds
123,Kaohsiung,TW,22.6163,120.3133,78.04,83,75,3.44,broken clouds
124,Mayo,US,38.8876,-76.5119,66.61,61,75,13.8,broken clouds
125,Castro,BR,-24.7911,-50.0119,60.28,91,80,2.89,light rain
